Year	AMiD	AMAD	AD	AMiJ	AMaJ	AJ
1922	21.18	31.81	26.5	5.65	22.85	14.25
1923	22.3	32.9	27.64	11.2	25.65	18.43
1924	22.34	32.9	27.6	-3.25	25.65	5.65
1925	-0.36	14.18	6.91	9.9	23.65	16.78
1926	12.91	27.91	20.41	14.95	28.95	21.95
1927	14.0	27.82	20.91	7.75	22.6	15.18
1928	18.36	30.55	24.46	17.3	30.9	24.1
1929	16.91	31.55	24.23	-2.95	13.95	5.5
1930	13.73	28.0	20.86	9.0	22.3	15.65
1931	31.818	38.46	35.14	17.8	31.05	24.43
1932	25.18	37.09	31.14	22.5	33.0	27.75
2012	13.0	26.36	19.68	14.05	32.45	23.25
2013	4.09	21.09	12.59	11.7	30.65	21.175
2014	21.545	31.727	26.64	2.45	20.75	11.6
2015	25.73	34.82	30.27	7.5	21.45	14.48
2016	22.82	35.73	29.27	8.6	23.3	15.95
2017	-3.28	13.36	5.05	12.95	25.4	19.18
2018	22.27	34.09	28.68	7.4	23.95	15.68
2019	28.18	39.09	33.64	8.6	23.3	15.95
2020	15.64	31.55	23.59	17.75	32.75	25.25
2021	17.36	33.36	25.36	20.7	30.9	25.8
2022	9.27	26.09	17.68	6.8	24.15	15.48
